datetime,uncorrectedNeutrons,incoming,TAVG,PREC,RHAVG,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],pressureCorrectedNeutrons,PRESS(hPa),incoming_correction,press_correction,RH_correction,corrected_neutrons,movingAvg_neutrons,soil_moisture
2023-03-22 14:00:00,789.0,153.176,20.7,0.0,46.1,0.1083153686825,0.14622574772137,773.65103280729,1013.92,0.9794564493369395,1.0131578120962375,1,782.959379117219,777.1430234898558,0.20732138186112856
2023-03-22 15:00:00,798.0,153.142,20.8,0.0,41.6,0.10720657334653,0.14472887401781,774.81215821183,1013.57,0.9796739045045451,1.0104663934897586,1,789.9621905504288,776.6953804001269,0.20778906493550695
2023-03-22 16:00:00,819.0,153.298,19.8,0.0,44.5,0.10447941120435,0.14104720512588,777.56060115661,1012.84,0.9786769630630213,1.0048758484504985,1,805.4446029222499,776.5548610165671,0.20793612397657596
2023-03-22 17:00:00,770.0,153.106,17.3,0.0,55.6,0.10303673493877,0.13909959216734,779.2300577305,1012.61,0.9799042564212705,1.0031208597743744,1,756.881048152363,775.6006167391905,0.20893793834487404
2023-03-22 18:00:00,771.0,152.981,14.4,0.0,61.3,0.1029912669096,0.13903821032795,778.9258857531,1012.82,0.980704931224368,1.0047231189292718,1,759.6947631990283,773.4148584265054,0.21125361998283157
2023-03-22 19:00:00,795.0,152.093,12.6,0.0,69.4,0.1030183881705,0.13907482403018,778.93797026237,1013.39,0.9864308093313634,1.009085020537991,1,791.3370800272896,772.5727620948952,0.21215364875989995
2023-03-22 20:00:00,830.0,151.653,11.2,0.0,79.4,0.10092167731827,0.13624426437966,783.55789310871,1013.68,0.9892928005620399,1.011311496598595,1,830.4010416498079,777.0374301742862,0.20743159372584907
2023-03-22 21:00:00,774.0,152.811,11.6,0.0,80.3,0.097741041926205,0.13195040660038,787.10954828872,1013.6,0.9817959511006081,1.0106968060935129,1,768.0386767780059,776.3408090981878,0.20816036680896144
2023-03-22 22:00:00,791.0,152.023,9.7,0.0,87.3,0.097748647969458,0.13196067475877,786.61424208788,1013.82,0.9868850179488303,1.01238810468491,1,790.2965264147514,776.3251616387607,0.20817677009835792
2023-03-22 23:00:00,754.0,151.153,7.9,0.0,92.1,0.096397175911376,0.13013618748036,787.27163790016,1014.18,0.9925652887050541,1.0151617912122488,1,759.7412247082019,779.108932038161,0.20528164983271935
